X,Y,Name,ADA,Address,Field_1,POINT_X,POINT_Y,Park and Ride,Rail Line,Station ID,Station Name
-87.6314180458674,41.9039281707863,Clark/Division,ADA Accessible,1200 N. Clark Street,Clark/Division,1175328.346174,1908360.200474,0,Red Line,630,Clark/Division
-87.6155516194625,41.7801375543113,King Drive,ADA Accessible,400 E. 63rd Street,King Drive,1180024.55149,1863287.024624,0,Green Line,1140,King Drive
-87.8380318068063,41.9843019179755,Cumberland,ADA Accessible,5800 N. Cumberland Avenue,Cumberland,1118914.130697,1937256.045877,1,Blue Line,230,Cumberland
-87.8069666741512,41.8734978948597,Harlem,Not ADA  Accessible,701 S. Harlem Avenue,Harlem,1127608.009233,1896929.332495,0,Blue Line (Congress),980,Harlem-Congress
-87.7836668289516,41.8871672448627,Ridgeland,Not ADA  Accessible,36 N. Ridgeland Avenue,Ridgeland,1133921.860375,1901950.19138,0,Green Line (Lake),610,Ridgeland
-87.7332694364639,41.8537585306984,Kostner,ADA Accessible,2019 S. Kostner Avenue,Kostner,1147729.863972,1889868.062985,0,Pink,600,Kostner
-87.685184984822,41.8544046839752,Western,ADA Accessible,2009 S. Western Avenue,Western,1160828.02104,1890198.732809,0,Pink,740,Western-Douglas
-87.6885083818154,41.9662579136525,Western,ADA Accessible,4645 N. Western Avenue,Western,1159616.195119,1930951.297583,0,Brown Line,1480,Western-Ravenswood
-87.6638505984343,41.7789612403492,Ashland,ADA Accessible,6315 S. Ashland Avenue,Ashland,1166854.40799,1862752.12184,1,Green Line (Englewood),290,Ashland/63rd
-87.6481368563758,41.8469092881234,Halsted,ADA Accessible,2520 S. Archer Avenue,Halsted,1170942.965562,1887545.796103,1,Orange Line,1130,Halsted-Midway
-87.6695489888663,41.8715708546151,Polk,ADA Accessible,1713 W. Polk Street,Polk,1165039.424308,1896486.588943,0,Pink,1030,Polk
-87.6531366193255,41.9327393626827,Diversey,ADA Accessible,940 W. Diversey Avenue,Diversey,1169332.772152,1918811.409444,0,"Brown, Purple (Express)",530,Diversey
-87.6749615140804,41.9545310037213,Irving Park,ADA Accessible,1816 W. Irving Park Dr,Irving Park,1163333.209139,1926705.985067,0,Brown Line,1460,Irving Park-Ravenswood
-87.6610664721811,42.0010812325187,Loyola,ADA Accessible,1200 W. Loyola Avenue,Loyola,1166979.645238,1943698.465339,0,Red Line,1300,Loyola
-87.6592080495191,41.9936721327886,Granville,ADA Accessible,1119 W. Granville Avenue,Granville,1167506.039095,1941002.514489,0,Red Line,760,Granville
-87.6590816284849,41.9902673651999,Thorndale,Not ADA  Accessible,1118 W. Thorndale Avenue,Thorndale,1167550.174263,1939762.067511,0,Red Line,880,Thorndale
-87.6244204781868,41.7223838114069,95/Dan Ryan,ADA Accessible,14 W. 95th Street,95/Dan Ryan,1177778.980672,1842222.005725,0,Red Line,450,95th/Dan Ryan
-87.6185073388136,41.8020994255451,51st,ADA Accessible,314 E. 51st Street,51st,1179151.842113,1871283.076344,0,Green Line,130,51st
-87.6264081312554,41.8531229329346,Cermak-McCormick Pl,ADA Accessible,12 E. Cermak Rd.,Cermak-McCormick Pl,1176844.653375,1889858.017033,0,Green Line,1690,Cermak-McCormick Place
-87.6261036486826,41.8795180734382,Adams/Wabash,Not ADA  Accessible,201 S. Wabash Avenue,Adams/Wabash,1176848.366655,1899477.045266,0,"Brown, Orange, Pink,  Purple (Express), Green",680,Adams/Wabash
-87.6339791124125,41.8889757890646,Merchandise Mart,ADA Accessible,350 N. Wells Street,Merchandise Mart,1174675.578173,1902905.856021,0,"Brown, Purple (Express)",460,Merchandise Mart
-87.6281821037464,41.8966790697197,Chicago,ADA Accessible,800 N. State Street,Chicago,1176230.958143,1905725.849368,0,Red Line,1450,Chicago/State
-87.7937891507331,41.8869953676161,Oak Park,Not ADA  Accessible,100 S. Oak Park Avenue,Oak Park,1131166.009621,1901870.06722,0,Green Line (Lake),1350,Oak Park-Lake
