X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-70.9234109994728,42.0827489999301,663215,PB-0212-S,,Whitman,Whitman - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.082749,-70.923411,CR-zone-5,,https://www.mbta.com/stops/place-PB-0212,,0,place-PB-0212,1,Whitman,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-70.8824380003576,42.0439670002302,663217,PB-0245-S,,Hanson,Hanson - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.043967,-70.882438,CR-zone-6,,https://www.mbta.com/stops/place-PB-0245,,0,place-PB-0245,1,Hanson,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-70.824262999761,42.0147389997868,663219,PB-0281,,Halifax,Halifax - Commuter Rail,,Commuter Rail,42.014739,-70.824263,CR-zone-7,,https://www.mbta.com/stops/place-PB-0281,,0,place-PB-0281,1,Halifax,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-70.824262999761,42.0147389997868,663220,PB-0281-CS,,Halifax,Halifax - Commuter Rail - Track 2,2,Track 2,42.014739,-70.824263,CR-zone-7,,https://www.mbta.com/stops/place-PB-0281,,0,place-PB-0281,1,Halifax,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-70.824262999761,42.0147389997868,663221,PB-0281-S,,Halifax,Halifax - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.014739,-70.824263,CR-zone-7,,https://www.mbta.com/stops/place-PB-0281,,0,place-PB-0281,1,Halifax,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-70.6904209995439,41.9812780000145,663223,PB-0356-S,,Plymouth,Plymouth - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),41.981278,-70.690421,CR-zone-8,,https://www.mbta.com/stops/place-PB-0356,,0,place-PB-0356,1,Plymouth,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.1462799996795,42.1570950002228,663225,SB-0156-S,,Canton Center,Canton Center - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.157095,-71.14628,CR-zone-3,,https://www.mbta.com/stops/place-SB-0156,,0,place-SB-0156,1,Canton,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.1036270003933,42.1240840004233,663227,SB-0189-S,,Stoughton,Stoughton - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.124084,-71.103627,CR-zone-4,,https://www.mbta.com/stops/place-SB-0189,,0,place-SB-0189,1,Stoughton,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.0999740002038,42.3475809997159,663229,WML-0025,,Lansdowne,Lansdowne - Commuter Rail,,Commuter Rail,42.347581,-71.099974,CR-zone-1A,,https://www.mbta.com/stops/place-WML-0025,,0,place-WML-0025,1,Boston,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.0999740002038,42.3475809997159,663230,WML-0025-05,,Lansdowne,Lansdowne - Commuter Rail - Track 5,5,Track 5,42.347581,-71.099974,CR-zone-1A,,https://www.mbta.com/stops/place-WML-0025,,0,place-WML-0025,1,Boston,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
